ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
2:22.02.2022,21.02.2022,16,21.02.2022,21,04501148,590,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
3:22.02.2022,22.02.2022,07,22.02.2022,13,04300621,750,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
4:22.02.2022,22.02.2022,07,22.02.2022,14,03400721,1700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
5:22.02.2022,22.02.2022,14,22.02.2022,19,03400721,1500,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
6:22.02.2022,21.02.2022,20,22.02.2022,06,03500936,800,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
7:22.02.2022,22.02.2022,09,22.02.2022,19,01100102,1176,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
8:22.02.2022,21.02.2022,06,21.02.2022,14,09501737,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
9:22.02.2022,21.02.2022,05,21.02.2022,17,05200629,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
10:22.02.2022,21.02.2022,21,22.02.2022,08,01200522,1400,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
11:22.02.2022,22.02.2022,13,22.02.2022,16,07400927,816,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
12:22.02.2022,21.02.2022,14,22.02.2022,08,12400721,784,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13:22.02.2022,22.02.2022,05,22.02.2022,15,06200420,849,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14:22.02.2022,19.02.2022,09,21.02.2022,20,09200511,1161,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
15:22.02.2022,22.02.2022,07,22.02.2022,14,08100416,596,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
16:22.02.2022,22.02.2022,18,22.02.2022,20,11100307,2488,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
17:22.02.2022,22.02.2022,12,22.02.2022,13,08100314,1500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
18:22.02.2022,20.02.2022,13,21.02.2022,07,07300618,205,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
19:22.02.2022,22.02.2022,08,22.02.2022,18,06300524,750,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
20:22.02.2022,22.02.2022,05,22.02.2022,14,06200312,1948,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
21:22.02.2022,21.02.2022,18,21.02.2022,21,03500934,1011,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
